Title,Price,Rating,Review Count,Prime,Sustainability
"BROOKLYN COFFEE Whole Bean, Italian Dark Roast (5lb) Extra Strong, Delicious Taste, Heavenly Aroma - Fresh Bulk Coffee Beans Roasted Weekly in NYC",$43.99,4.5 out of 5 stars,"8,087",Yes,Yes
SAN FRANCISCO BAY,$21.99,4.4 out of 5 stars,"22,527",Yes,No
Death Wish Coffee,$16.48,4.6 out of 5 stars,"19,767",Yes,Yes
Fresh Roasted Coffee,$39.95,4.3 out of 5 stars,"3,901",Yes,Yes
Lavazza,$14.98,4.6 out of 5 stars,"46,749",Yes,No
Tim Hortons,$5.98,4.5 out of 5 stars,"4,838",Yes,Yes
Lavazza,$17.99,4.5 out of 5 stars,"30,646",Yes,Yes
Amazon Fresh,$19.18,4.2 out of 5 stars,"28,398",Yes,Yes
SAN FRANCISCO BAY,$20.99,4.4 out of 5 stars,"22,527",Yes,No
Lavazza,$17.99,4.6 out of 5 stars,"15,342",Yes,No
Amazon Fresh,$7.19,4.2 out of 5 stars,"28,398",Yes,Yes
Fire Department Coffee,$49.99,4.5 out of 5 stars,"1,081",Yes,Yes
Don Francisco's,$18.99,4.5 out of 5 stars,"1,029",Yes,No
"Grounds & Hounds Belly Rub Blend - 100% Organic Whole Bean Coffee, Medium Roast Coffee Beans, Bulk Coffee, 2lbs",$34.99,4.4 out of 5 stars,71,Yes,Yes
Peet's Coffee,$13.58,4.6 out of 5 stars,"7,859",Yes,No
Cameron's Coffee,$10.98,4.3 out of 5 stars,"1,025",Yes,No
Amazon Fresh,$5.33,4.2 out of 5 stars,"28,398",Yes,Yes
STUMPTOWN COFFEE ROASTERS,$14.98,4.3 out of 5 stars,"3,528",Yes,Yes
Koffee Kult,$31.99,4.4 out of 5 stars,"8,611",Yes,Yes
Caffè Borbone,$20.00,4.2 out of 5 stars,410,Yes,Yes
Kicking Horse,$25.00,4.6 out of 5 stars,"7,343",Yes,Yes
"BROOKLYN COFFEE Whole Bean, Italian Dark Roast (2lb) Extra Strong, Delicious Taste, Heavenly Aroma - Fresh Bulk Coffee Beans Roasted Weekly in NYC",$23.99,4.3 out of 5 stars,360,Yes,Yes
Illy,$11.99,4.5 out of 5 stars,"8,048",Yes,Yes
Lavazza,$14.98,4.7 out of 5 stars,"3,849",Yes,No
Copper Moon,$16.98,4.4 out of 5 stars,"5,676",Yes,No
Mt. Comfort Coffee,$23.19,4.4 out of 5 stars,"2,151",Yes,Yes
Kauai Coffee,$6.98,4.4 out of 5 stars,"6,340",Yes,No
Eight O'Clock Coffee,$14.54,4.6 out of 5 stars,"17,850",Yes,No
Starbucks,$15.49,4.6 out of 5 stars,"7,415",No,No
"Blue Bottle Whole Bean Organic Coffee, Balanced, Medium Roast, 12 Ounce bag (Pack of 1)",$12.79,4.4 out of 5 stars,116,Yes,Yes
STUMPTOWN COFFEE ROASTERS,$12.79,4.2 out of 5 stars,"6,717",Yes,No
Kicking Horse,$7.99,4.4 out of 5 stars,"2,378",Yes,Yes
Dunkin',$47.75,4.7 out of 5 stars,"2,288",Yes,No
Lavazza,$20.99,4.5 out of 5 stars,"13,372",No,Yes
