,Voting,Jury,Govt_Politics,American_Flag,US_Census,Pledge,Military Support,Respecting_Others,Believing in God,Protesting,Racism_US,Racism_Policing,Society_Whole,Mainstream_Media,Way_People_Talk,Q3_6,educ,race,gender,income_cat,voter_category,age_binned
0,Very Important,Very Important,Somewhat important,Not at all important,Very Important,Not at all important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,College,White,Female,$75-125k,always,66-94
1,Very Important,Somewhat important,Somewhat important,Not so important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Not so important,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,College,White,Female,$125k or more,always,66-94
2,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Not at all important,Not so important,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,College,White,Male,$125k or more,sporadic,37-54
3,Very Important,Very Important,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Some college,Black,Female,$40-75k,sporadic,55-65
6,Very Important,Very Important,Somewhat important,Not so important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,White,Female,$125k or more,always,66-94
7,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Not so important,Very Important,Very Important,Not at all important,Somewhat important,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Some college,Other/Mixed,Female,$75-125k,always,66-94
8,Very Important,Very Important,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat important,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,College,White,Male,$125k or more,always,66-94
9,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Some college,White,Male,$125k or more,always,66-94
10,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not so important,Not so important,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,College,White,Male,$75-125k,sporadic,37-54
11,Very Important,Very Important,Very Important,Not at all important,Very Important,Not at all important,Somewhat important,Not so important,Not at all important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,College,White,Female,$125k or more,sporadic,37-54
